,name,occupation_x,rhodes_scholar,schools,degrees,full_name,DOB,occupation_y,spouses,offspring
370,Stansfield Turner,,1947.0,"U.S. Naval Academy,Exeter College, Oxford","BS,MA",,1923-12-01 00:00:00,,Patricia Busby Whitney,
371,Ronald L. Barnard,,1948.0,,,,,,,
372,William J. Becker,,1948.0,,,,,,,
373,Eugene Burdick,,1948.0,,,Eugene Leonard Burdick,1918-12-12 00:00:00,"Political scientist, writer",Carol Burdick,3
374,Guy Davenport,,1948.0,,,,,,,
375,John W. Douglas,,1948.0,,,,,,,
376,Murray Hofmeyr,,1948.0,,,,,,,
377,Piet Koornhof,,1948.0,,,,1925-08-02 00:00:00,,,
378,Malcolm McLane,,1948.0,"Dartmouth College,Harvard University",,,1924-10-03 00:00:00,,Susan McLane,
379,John McNaughton,government official,1948.0,"DePauw University,Harvard University,Oriel College, Oxford","BLitt,LLB,BA",,1921-11-21 00:00:00,,,
380,Renfrey Potts,,1948.0,,,,,,,
381,Eric Prabhakar,,1948.0,,,,,,,
382,Elmer Sprague,,1948.0,,,,,,,
383,Robert Burchfield,,1949.0,,,,,,,
384,Creighton Burns,,1949.0,Oxford University,,Creighton Lee Burns,1925-03-19 00:00:00,Newspaper journalist,,
385,Barney Childs,,1949.0,,,,,,,
386,Hugh Alexander Dunn,,1949.0,,,,,,,
387,Peter Durack,,1949.0,,,,,,,
388,James Greene,Canadian politician,1949.0,,,,,,,
389,Oliver Heyward,,1949.0,,,,,,,
390,G%C3%A9rard La Forest,,1949.0,,,,,,,
391,Steven Muller,,1949.0,,,,,,,
392,George Munroe,,1949.0,,,,,,,
393,Rob Robertson-Cuninghame,,1949.0,"University of Sydney,University of Oxford",,,1924-05-31 00:00:00,,,
394,George W. Rogers Jr.,,1949.0,,,,1927-04-05 00:00:00,Lawyer,,
395,W. Reece Smith Jr.,,1949.0,,,,,,,
396,Lewis Salter,,1949.0,,,,,,,
397,Nelson Ferebee Taylor,,1949.0,,,,,,,
398,John Turner,,1949.0,,,,,,,
399,Hector Wynter,,1949.0,,,,,,,
400,Peter Hamilton Bailey,,1950.0,"Carey Baptist Grammar School,Wesley College,University of Melbourne,Corpus Christi College, Oxford,Canberra University College",,,1927-09-03 00:00:00,"Public servant, academic",,
401,James H. Billington,,1950.0,"Princeton University,Balliol College, Oxford","D.Phil.,A.B.",James Hadley Billington,1929-06-01 00:00:00,,,
402,Max Bingham,,1950.0,"University of Tasmania,Lincoln College, Oxford","LLB,BCL",Eardley Max Bingham,1927-03-18 00:00:00,,Margaret Garrett Jesson,
403,John Brademas,,1950.0,"Harvard University,Brasenose College, Oxford","MA,BA,PhD",Stephen John Brademas Jr.,1927-03-02 00:00:00,,,
404,Lionel Bryer,,1950.0,,,,,,,
405,Paul-Andr%C3%A9 Cr%C3%A9peau,,1950.0,,,,,,,
406,Charles Till Davis,,1950.0,,,,,,,
407,Alan Dowding,,1950.0,,,,,,,
408,Raghavan N. Iyer,,1950.0,,,Raghavan Narasimhan Iyer,1930-03-10 00:00:00,"Academic, Philosopher",Nandini Nanak Mehta,Pico Iyer
409,Robert K. Massie,,1950.0,"Yale University,University of Oxford",,,1929-01-05 00:00:00,"Historian,biographer",,
410,Bruce Rosier,,1950.0,,,,,,,
411,George Steiner,,1950.0,,,,1929-04-23 00:00:00,literary critic,,2
412,Tanjore Ramachandra Anantharaman,,1951.0,,,,,,,
413,Thomas A. Bartlett,,1951.0,"Stanford University,Oxford University,Stanford University",Stanford University,,1930-03-24 00:00:00,,Mary (Molly) Louise Bixby (1954),
414,Julien Chouinard,,1951.0,,,,1929-02-04 00:00:00,,,
415,Lloyd Evans,plant physiologist,1951.0,,,,,,,
416,Richard N. Gardner,,1951.0,Harvard College,,Richard Newton Gardner,1927-07-09 00:00:00,professor and diplomat,index.php?title=Danielle L. Gardner&action=edit&redlink=1,Anthony L. Gardner
417,Allan Gotlieb,,1951.0,,,,,,,
418,Stuart Hall,cultural theorist,1951.0,"Merton College, Oxford",,Stuart Henry McPhail Hall,1932-02-03 00:00:00,,Catherine Hall,
419,Robert J. Harris,mayor,1951.0,,,,,,,
420,Tom Harpur,,1951.0,"University College, Toronto,Oriel College, Oxford,Wycliffe College, Toronto",,Thomas William Harpur,1929-04-14 00:00:00,"Biblical scholar,cleric",Susan,
421,Kenneth Keniston,,1951.0,,,,,,,
422,A. Walton Litz,,1951.0,,,,,,,
423,John Stone,Australian politician,1951.0,Oxford University,,,1929-01-31 00:00:00,Public servant and politician,,
424,James H. Taylor,,1951.0,,,,,,,
425,J. Ramsey Bronk,,1952.0,"Princeton University,Oriel College",,John Ramsey Bronk,1929-12-20 00:00:00,,,
426,Howard J. Burnett,,1952.0,,,,,,,
427,Rawdon Dalrymple,,1952.0,"University of Sydney,University of Oxford",,Frederick Rawdon Dalrymple,1930-11-06 00:00:00,"Public servant, diplomat",Ross Dalrymple (nee Williams) ,
428,Alain Enthoven,,1952.0,,,,,,,
429,James Gobbo,,1952.0,,,,,,,
430,George Goodman,,1952.0,"Harvard University,Brasenose College, Oxford","BLitt,BA",George Jerome Waldo Goodman,1930-08-10 00:00:00,,Sally Brophy,2
431,Elliott H. Levitas,,1952.0,"Emory University,University of Oxford",,Elliott Harris Levitas,1930-12-26 00:00:00,,,
432,H. Ian Macdonald,,1952.0,,,,,,,
433,John Searle,,1952.0,,,,,,,
434,Neil Smelser,,1952.0,"Harvard University,Magdalen College, Oxford",,Neil Joseph Smelser,1930-07-22 00:00:00,,,
435,Charles Taylor,philosopher,1952.0,"McGill University,Balliol College, Oxford",,Charles Margrave Taylor,1931-11-05 00:00:00,,,
436,Hugh Templeton,,1952.0,,,,,,,
437,Ronald Lampman Watts,,1952.0,"University of Toronto,Oxford University",,,1929-03-10 00:00:00,,,
438,Jean Beetz,,1953.0,"Université de Montréal Faculty of Law,Pembroke College, Oxford",,,1927-03-27 00:00:00,,,
439,Guido Calabresi,,1953.0,"Yale University,Magdalen College, Oxford,Yale Law School","BS,LLB,MA",Guido Calabresi,1932-10-18 00:00:00,,,
440,Edward de Bono,,1953.0,,,,1933-05-19 00:00:00,,Josephine Hall-White,2 sons
441,Michael Denborough,,1953.0,,,,,,,
442,Ronald Dworkin,,1953.0,"Harvard University,AB,JD,Magdalen College, Oxford,BA",,Ronald Myles Dworkin,1931-12-11 00:00:00,,,
443,John Robert Evans,,1953.0,"University of Toronto,University of Oxford",,,1929-10-01 00:00:00,,Gay Glassco,
444,Bob Hawke,,1953.0,,,,,,,
445,Otto Lang,,1953.0,,,Otto Emil Lang,1932-05-14 00:00:00,Lawyer,Deborah McCawley,Amanda Lang
446,Julian Ogilvie Thompson,,1953.0,,,,,,,
447,Frank Wells,,1953.0,"Pomona College,University of Oxford",,Franklin G. Wells,1932-03-04 00:00:00,"President,The Walt Disney Company",,
448,Robert Wells,Canadian politician,1953.0,,,,,,,
449,Laurie Ackermann,,1954.0,,,,,,,
450,David Alexander,college president,1954.0,"Southwestern at Memphis College,Christ Church, Oxford",,John David Alexander,1932-10-18 00:00:00,,Catharine C. Alexander,Julia Marciari-Alexander
451,Brock Brower,,1954.0,,,Brock Hendrickson Brower,1931-11-27 00:00:00,"Journalist, author",Ann Montgomery (married 1956-2014),5
452,"Leonard Hoffmann, Baron Hoffmann",,1954.0,,,,,,,
453,Norman Cantor,,1954.0,,,,,,,
454,Brian Goodwin,,1954.0,,,,,,,
455,Richard Lugar,,1954.0,,,,,,,
456,Denis McLean,,1954.0,,,Denis Bazeley Gordon McLean,1930-08-18 00:00:00,Public servant,,
457,Mancur Olson,,1954.0,,,,,,,
458,Robert Paxton,,1954.0,Harvard University,,Robert Owen Paxton,1932-06-15 00:00:00,,,
459,Paul Sarbanes,,1954.0,"Princeton University,Balliol College, Oxford,Harvard University","LLB,BA",Paul Spyros Sarbanes,1933-02-03 00:00:00,,Christine Dunbar,John Sarbanes
460,Francis Slaven,,1954.0,,,,,,,
461,Dale Vesser,,1954.0,,,,1932-09-10 00:00:00,,,
462,Diogenes Allen,,1955.0,"University of Kentucky,St John's College, Oxford,Yale Divinity School",,,1932-10-17 00:00:00,,,
463,D. J. R. Bruckner,,1955.0,,,,,,,
464,Ranjit Roy Chaudhury,,1955.0,,,,1930-11-04 00:00:00,Clinical pharmacologist,,
465,James Griffin,philosopher,1955.0,"St Antony's College, Oxford",,James Patrick Griffin,1933-07-08 00:00:00,,,
466,Arthur H. Hayes Jr.,,1955.0,,,,1933-07-18 00:00:00,,,
467,Verdel Kolve,,1955.0,,,,,,,
468,Colin Maiden,,1955.0,,,,,,,
469,John H. Morrison,,1955.0,,,,,,,
470,Reynolds Price,,1955.0,Duke University,,Edward Reynolds Price,1933-02-01 00:00:00,"Author, professor",,
471,Peter H. Russell,,1955.0,,,,,,,
472,John Winthrop Sears,,1955.0,,,,,,,
473,Peter Serracino Inglott,,1955.0,,,,,,,
474,Robert Solomon,politician,1955.0,,,,,,,
475,"Johan Steyn, Baron Steyn",,1955.0,,,,,,,
476,Gilbert Strang,,1955.0,,,,,,,
477,Ian Wilson,politician,1955.0,University of Adelaide,,,1932-05-02 00:00:00,Solicitor,Mary Wilson,
478,Virendra Dayal,,1956.0,,,,1935-01-29 00:00:00,"civil servant,Indian Foreign Service,United Nations civil service",,
479,Thomas De Koninck,,1956.0,,,,,,,
480,Anthony King,political scientist,1956.0,"Queen's University,Ontario,University of Oxford",,Anthony Stephen King,1934-11-17 00:00:00,,,
481,Arthur Kroeger,,1956.0,,,,1932-09-07 00:00:00,civil servant,,
482,Geoff Miller,diplomat,1956.0,,,,,,,
483,Willie Morris,,1956.0,,,,,,,
484,Robert B. Pirie Jr.,,1956.0,"United States Naval Academy,University of Oxford",,,1933-09-10 00:00:00,,,
485,Neil Leon Rudenstine,,1956.0,,,,,,,
486,Edwin Yoder,,1956.0,,,,,,,
487,Ranjit Bhatia,,1957.0,,,,,,,
488,Bob Bilger,,1957.0,,,,,,,
489,Neal Blewett,,1957.0,"University of Tasmania,Jesus College, Oxford",,,1933-10-24 00:00:00,Academic,Jill Blewett,
490,Glen Bowersock,,1957.0,,,,,,,
491,Antonio Gotto,,1957.0,,,,,,,
492,Erich S. Gruen,,1957.0,,,,,,,
493,David Goldbloom,,1975.0,,,,,,,
494,Griffith R. Harsh,,1975.0,"Harvard University,AB,MD,New College, Oxford,MSc",,Griffith Rutherford Harsh IV,1953-07-25 00:00:00,Neurosurgeon,Meg Whitman,2
495,Roy Hofheinz Jr.,,1957.0,,,,,,,
496,Chris Maxwell,jurist,1975.0,,,,,,,
497,Edward J. Nell,,1957.0,"Princeton University,Oxford University",,,1935-07-16 00:00:00,,,
498,Rex Nettleford,,1957.0,,,,,,,
499,Robert I. Rotberg,,1957.0,,,,,,,
500,Aaron Sloman,,1957.0,,,,,,,
501,Peter Blaikie,,1958.0,,,,,,,
502,Alexander Fetter,,1958.0,,,,,,,
503,John V. Fleming,,1958.0,,,,,,,
504,Yves Fortier,lawyer,1958.0,,,,,,,
505,Roger Howell Jr.,,1958.0,,,,,,,
506,Jonathan Kozol,,1958.0,,,,1936-09-05 00:00:00,Writer,,
507,Kris Kristofferson,,1958.0,,,,,,,
508,Manmohan Malhoutra,,1958.0,,,,,,,
509,Mervyn Morris,,1958.0,"University College of the West Indies,St Edmund Hall, Oxford",,Mervyn Eustace Morris,1937-02-21 00:00:00,Poet and academic,,
510,Joseph Nye Jr.,,1958.0,,,,,,,
511,Stephen Clarkson,,1959.0,,,,,,,
512,Peter M. Dawkins,,1959.0,,,,,,,
513,Benjamin B. Dunlap,,1959.0,,,,,,,
514,Michael Fried,art critic,1959.0,,,,,,,
515,John F. Helliwell,,1959.0,,,,,,,
516,Thomas E. Hill,academic,1959.0,,,,,,,
517,Bradley C. Hosmer,,1959.0,,,,1937-10-08 00:00:00,,,
518,Don Mathieson,lawyer,1959.0,,,,,,,
519,Desmond Morton,historian,1959.0,"Royal Military College of Canada,Keble College, Oxford,London School of Economics",,Desmond Dillon Paul Morton,1937-09-10 00:00:00,,Janet Smith,
520,David Pithey,,1959.0,,,,,,,
521,Richard E. Rubenstein,,1959.0,,,,,,,
522,Richard Deane Terrell,,1959.0,,,,,,,
523,Shahid Javed Burki,,1960.0,"Government College University, Lahore,University of the Punjab,Christ Church, Oxford","Harvard University,Christ Church, Oxford",Shahid Javed Burki,1938-11-14 00:00:00,,,
524,Richard F. Celeste,,1960.0,,,,,,,
525,Robert Darnton,,1960.0,"Philips Academy,Harvard University,University of Oxford",,,1939-05-10 00:00:00,"Historian, librarian",,
526,Davis Earle,,1960.0,,,Eric Davis Earle,1937-11-26 00:00:00,,,
527,John S. Grinalds,,1960.0,,,,1938-01-05 00:00:00,,,
528,Lebrecht Wilhelm Fifi Hesse,,1960.0,"Accra Academy,Achimota School,University College of Ghana,University of London,Oriel College, Oxford",,Lebrecht Wilhelm Fifi Hesse,1934-11-16 00:00:00,"Public Servant,GBC",Charity Caeser,
529,Julian Jack,,1960.0,"University of Otago,University of Oxford",,James Julian Bennett Jack,1936-03-25 00:00:00,,,
530,Girish Karnad,,1960.0,,,,,,,
531,David Malcolm,,1960.0,"University of Western Australia,Wadham College, Oxford",,,1938-05-06 00:00:00,,Kaaren Malcolm,Manisha Malcolm
532,Charles W. Maynes,,1960.0,,,,,,,
533,John Andrew Rice,,1960.0,,,,,,,
534,Lester C. Thurow,,1960.0,,,,,,,
535,Frank Berman,,1961.0,,,,,,,
536,Graham Bond,gymnast,1961.0,,,,,,,
537,Angus Cameron,academic,1961.0,,,,,,,
538,Howard D. Graves,,1961.0,,,,,,,
539,William G. Pietersen,,1961.0,,,,,,,
540,David Souter,,1961.0,"Harvard University,Magdalen College, Oxford","LLB,BA,AB",David Hackett Souter,1939-09-17 00:00:00,,,
541,Henry Vernon Wong,,1961.0,"University of the West Indies,Oxford University",,,1938-12-04 00:00:00,,Dorit Wong (née Stebbing),
542,Eric Anthony Abrahams,,1962.0,,,,,,,
543,Rex Adams,,1962.0,,,,,,,
544,E. D. Berman,,1962.0,,,,,,,
545,Brian De Garis,,1962.0,,,,,,,
546,Rory Donnellan,,1962.0,,,,,,,
547,John Finnis,,1962.0,"University of Adelaide,University of Oxford",,John Mitchell Finnis,1940-07-28 00:00:00,,,
548,James J. Fox,,1962.0,,,,,,,
549,David B. Frohnmayer,,1962.0,,,,,,,
550,Bryan Gould,,1962.0,"Balliol College, Oxford",,Bryan Charles Gould,1939-02-11 00:00:00,,,
551,David Hodgson,judge,1962.0,,,,,,,
552,Shaukat Hameed Khan,,1962.0,"Gordon College,University of Oxford",,,1941-09-04 00:00:00,,,
553,Donald Melrose,,1962.0,"University of Western Australia,University of Tasmania,Oxford University",,,,,,
554,Richard Portes,,1962.0,,,,,,,
555,David Boren,,1963.0,"Yale University,Balliol College, Oxford,University of Oklahoma","JD,BA,MPhil",,1941-04-21 00:00:00,,Janna Lou Little,Dan Boren
556,Josiah Bunting III,,1963.0,,,,1939-11-08 00:00:00,,,
557,George Butterfield,businessman,1963.0,,,,,,,
558,Sheldon Chumir,,1963.0,University of Alberta,,,1940-12-03 00:00:00,,,
559,John Eekelaar,,1963.0,,,,1942-07-02 00:00:00,,,
560,Marcel Mass%C3%A9,,1963.0,,,,,,,
561,Walter B. Slocombe,,1963.0,"Harvard Law School,University of Oxford,Princeton University",,Walter Becker Brakeman,1941-09-23 00:00:00,Lawyer,,3
562,Allan Taylor,diplomat,1963.0,"University of Tasmania,University of Oxford",,,1941-08-23 00:00:00,Diplomat,Carol,
563,Michel Vennat,,1963.0,"Collège Jean-de-Brébeuf,Université de Montréal,Merton College, Oxford",,,1941-09-17 00:00:00,"civil servant, lawyer, businessman",Marie Anne Tawil,
564,John Edgar Wideman,,1963.0,"University of Pennsylvania,University of Oxford,University of Iowa",,,1941-06-14 00:00:00,"Author, Professor (emeritus)",,3
565,R. James Woolsey,,1963.0,,,,,,,
566,Montek Singh Ahluwalia,,1964.0,"University of Delhi,B.A.,University of Oxford,M.A.,M.Phil.",M.Phil.,,1943-11-24 00:00:00,,Isher Judge Ahluwalia,2
567,David Baragwanath,,1964.0,,,,,,,
568,Robin Boadway,,1964.0,,,,,,,
569,Thomas P. Gerrity,,1964.0,,,,,,,
570,Robert Harrison,financier,1964.0,,,,,,,
571,Dyson Heydon,,1964.0,"University of Sydney,University of Oxford",,,1943-03-01 00:00:00,"Barrister, Judge, Academic",,
572,R. W. Johnson,,1964.0,,,,,,,
573,Larry Pressler,,1964.0,,,,,,,
574,Bill Rowe,,1964.0,,,,,,,
575,Wasim Sajjad,,1964.0,"Army Burn Hall College,Punjab University,BA,MA,Oxford University,LLB,MA,Inns of Court School of Law,Barrister-at-Law",MA,Wasim Sajjad,1941-03-30 00:00:00,,,
576,James Gustave Speth,,1964.0,,,,,,,
577,Ralph C. S. Walker,,1964.0,"McGill University,Balliol College, Oxford",,,1944-06-02 00:00:00,,,
578,Peter H. Wood,,1964.0,,,,,,,
579,John Adams,Canadian general,1965.0,,,John Lawrence Adams,1942-05-31 00:00:00,,,
580,Tommy Bedford,,1965.0,,,,,,,
581,Bill Bradley,,1965.0,,,,,,,
582,Richard Danzig,,1965.0,"Reed College,Yale University,Magdalen College, Oxford","JD,DPhil,BA,BPhil",,1944-09-08 00:00:00,,Andrea Danzig,2
583,Modris Eksteins,,1965.0,,,,,,,
584,Frederick Goldstein,,1965.0,,,,,,,
585,John B. Ritch III,,1965.0,,,,,,,
586,Aftab Seth,,1965.0,"The Doon School,St. Stephen's College,Delhi University,Oxford University,American College of Greece,[1]",,,1943-09-17 00:00:00,"Indian Foreign Service,Diplomat,[1]",,
587,Philip Slayton,,1965.0,,,,,,,
588,Daryl Williams,politician,1965.0,"Perth Modern School,University of Western Australia,Wadham College, Oxford",,,1942-08-21 00:00:00,,,
589,John J. M. Bergeron,,1966.0,"McGill University,Oxford University",,,1946-12-22 00:00:00,,,
590,Michael C. Bonello,,1966.0,"University of Malta,University of Oxford",University of Oxford,,,,,
591,Andrew Brook,,1966.0,"The Queen's College, Oxford,Rhodes Scholar,University of Alberta",,,1943-03-17 00:00:00,,Christine Koggel,2 boys
592,Ashton Calvert,,1966.0,,,,1945-11-09 00:00:00,Public servant,Mikie,Felicity and Timothy
593,Wesley Clark,,1966.0,"United States Military Academy,Magdalen College, Oxford,U.S. Army Command and General Staff College","BS,BA,MMAS",,1944-12-23 00:00:00,,Gertrude Kingston,
594,Jonathan Culler,,1966.0,"Harvard University,St. John's College, Oxford",,,1944-10-01 00:00:00,"Professor,Author",,
595,David E. Kendall,,1966.0,,,,,,,
596,Terrence Malick,,1966.0,"Harvard University,Magdalen College, Oxford,AFI Conservatory","MFA,BA,BPhil",Terrence Frederick Malick,1943-11-30 00:00:00,"Film director, screenwriter, producer",Jill Jakes,
597,Trevor Munroe,,1966.0,,,,,,,
598,Wilson Parasiuk,,1966.0,,,,,,,
599,Prabhat Patnaik,,1966.0,,,,1945-09-19 00:00:00,,Utsa Patnaik,
600,Samuel Shem,,1966.0,,,,,,,
601,Michael Spence,,1966.0,"Harvard University,University of Oxford,Princeton University",,,1943-11-07 00:00:00,,,
602,Michael Teitelbaum,,1966.0,"Reed College,Oxford University",,Michael S. Teitelbaum,1944-01-21 00:00:00,,,
603,Richard W. Tsien,,1966.0,,,,,,,
604,Thomas H. Allen,,1967.0,,,,,,,
605,John Doyle,judge,1967.0,,,John Jeremy Doyle,1945-01-04 00:00:00,,,
606,Peter Edwards,historian,1967.0,"University of Western Australia,University of Oxford",,,1945-08-29 00:00:00,,,
607,David C. Hardesty Jr.,,1967.0,,,,,,,
608,Karl Marlantes,,1967.0,"Yale University,University College, Oxford",,Karl Arthur Marlantes,1944-12-24 00:00:00,Author,,
609,Deepak Nayyar,,1967.0,"Balliol College, University of Oxford",,,1946-09-26 00:00:00,,,
610,Stephen A. Oxman,,1967.0,,,,,,,
611,Peter Wilson,"cricketer, born 1944",1967.0,,,,,,,
612,Alan Bersin,,1968.0,"Harvard University,Yale University","JD,BA",,1946-10-15 00:00:00,,Lisa Foster,
613,Dennis C. Blair,,1968.0,,,,,,,
614,Colin Bundy,,1968.0,,,,,,,
615,Mike Burton,cricketer,1968.0,,,,,,,
616,Peter Cameron,mathematician,1968.0,,,,,,,
617,Bill Clinton,,1968.0,,,,,,,
618,Peter Conrad,academic,1968.0,,,,,,,
619,Robert Earl,U.S. Marine,1968.0,,,,,,,
620,Boisfeuillet Jones Jr.,,1968.0,,,,,,,
621,William A. Fletcher,,1968.0,"Harvard University,Oxford University,Yale University","JD,BA",William Alan Fletcher,1945-06-06 00:00:00,,,
622,Chris Laidlaw,,1968.0,University of Otago,,,1943-11-16 00:00:00,,,
623,Robert McCallum Jr.,,1968.0,"Yale University,Oxford University",,Robert Davis McCallum Jr.,1946-01-30 00:00:00,,Mary Rankin Weems,
624,David Millener,,1968.0,,,,,,,
625,Rex Murphy,,1968.0,,,,,,,
626,G. L. Peiris,,1968.0,,,,,,,
627,Walter F. Pratt,,1968.0,,,,,,,
628,Robert Reich,,1968.0,"Dartmouth College,University College, Oxford,Yale University","MA,JD,BA",Robert Bernard Reich,1946-06-24 00:00:00,,Clare Dalton,Sam Reich
629,David Satter,,1968.0,"University of Chicago,University of Oxford",,David A. Satter,1947-08-01 00:00:00,Journalist and historian,,
630,Richard G. Stearns,,1968.0,"Stanford University,Balliol College, Oxford,Harvard Law School","B.A.,J.D.,M.Litt.",Richard Gaylore Stearns,1944-06-27 00:00:00,,,
631,Strobe Talbott,,1968.0,"Yale University,Magdalen College, Oxford","BA,MLitt",Nelson Strobridge Talbott III,1946-04-25 00:00:00,,,
632,Ronald Thwaites,,1968.0,,,,,,,
633,Jim Amoss,,1969.0,,,,,,,
634,David Freedberg,,1969.0,,,,,,,
635,Kenneth Hayne,,1969.0,"University of Melbourne,Exeter College, Oxford",,Kenneth Madison Hayne,1945-06-05 00:00:00,,Michelle Gordon (judge),"Sarah Margaret Hayne, Andrew Hayne, Ian M Hayne, Richard M Hayne, James Hayne"
636,Ira Magaziner,,1969.0,,,,1947-11-08 00:00:00,,,Seth Magaziner
637,Roger B. Porter,,1969.0,"Brigham Young University, Utah,Queen's College, Oxford,Harvard University","MA,BA,BPhil,PhD",Roger Blaine Porter,1946-06-19 00:00:00,,,Rob Porter
638,Selwyn Maister,,1969.0,,,,,,,
639,Michael Ponsor,,1969.0,"Harvard University,Yale University,Pembroke College, Oxford","MA,JD,BA",Michael Adrian Ponsor,1946-08-13 00:00:00,,,
640,Bob Rae,,1969.0,"University of Toronto,Balliol College, Oxford","LLB,BA,BPhil",Robert Keith Rae,1948-08-02 00:00:00,,Arlene Perly Rae,3
641,Kurt Schork,,1969.0,,,,,,,
642,Danny Williams,Canadian politician,1969.0,,,,1949-08-04 00:00:00,,,
643,David Vernon Williams,,1969.0,,,,,,,
644,Bruce E. Cain,,1970.0,,,,,,,
645,James Fallows,,1970.0,,,,,,,
646,Louis Grech,,1970.0,,,,1947-03-22 00:00:00,,,Xandru Grech
647,Dennis J. Hutchinson,,1970.0,,,,,,,
648,Kent M. Keith,,1970.0,,,,,,,
649,Susan Kippax,,1970.0,,,,,,,
650,David S. Painter,,1970.0,,,,,,,
651,Gregory Petsko,,1970.0,,,,,,,
652,David Quammen,,1970.0,[1],,,1948-02-24 00:00:00,,,
653,Eric Redman,businessman,1970.0,,,,,,,
654,Geoffrey Robertson,,1970.0,,,,,,,
655,Charles A. Shanor,,1970.0,,,,,,,
656,Patrick Shea,Utah lawyer,1970.0,"Stanford University,University of Oxford,Harvard University","MA,JD,BA",Patrick A. Shea,1948-02-28 00:00:00,,Debbie Kern (1980–present),2
657,Richard H. Trainor,,1970.0,,,,,,,
658,James Atlas,,1971.0,,,,,,,
659,Joseph L. Badaracco,,1971.0,,,,,,,
660,John C. Baldwin,,1971.0,,,,,,,
661,Jonathan Borwein,,1971.0,,,,,,,
662,Etienne de Villiers,,1971.0,,,,,,,
663,Stuart Hamilton,public servant,1971.0,,,,,,,
664,Richard Lee,"cricketer, born 1950",1971.0,,,,,,,
665,John Luik,,1971.0,,,,,,,
666,Chris Mann,poet,1971.0,,,,,,,
667,Thomas W. Merrill,,1971.0,"University of Chicago Law School,University of Oxford,Grinnell College",,,,,,
668,Andrew Murray,Australian politician,1971.0,"Rhodes University,University of Oxford",,Andrew James Marshall Murray,1947-01-29 00:00:00,"Businessman, consultant",,
669,Roland Paver,,1971.0,,,,,,,
670,Paul A. Rahe,,1971.0,,,,,,,
671,Franklin Raines,,1971.0,,,,,,,
672,Tom Sancton,,1971.0,,,,,,,
673,Kurt Schmoke,,1971.0,"Yale University,Oxford University,Harvard University",Harvard University,Kurt Lidell Schmoke,1949-12-01 00:00:00,,Patricia Locks,Wikipedia:Citation needed
674,Tom Birmingham,,1972.0,"Harvard,Harvard Law",Harvard Law,Thomas Francis Birmingham,1949-08-04 00:00:00,,Selma Botman,2
675,Christopher Cordner,,1972.0,,,,,,,
676,Keith P. Ellison,,1972.0,"Harvard University,Magdalen College, Oxford,Yale Law School","JD,BA",,1950-04-29 00:00:00,,,
677,Geoff Gallop,,1972.0,"St John's College, Oxford,Nuffield College, Oxford,University of Western Australia",,Geoffrey Ian Gallop,1951-09-27 00:00:00,,Beverly Diane Jones (m.1975–2009; her death),2
678,Lane P. Hughston,,1972.0,"Magdalen College, Oxford",,,1951-12-24 00:00:00,,,
679,Michael Kinsley,,1972.0,,,,,,,
680,Robert Luskin,,1972.0,,,,,,,
681,Alan Morinis,,1972.0,,,,,,,
682,David Skegg,,1972.0,,,,,,,
683,Nicholas Spaeth,,1972.0,"Stanford University,New College, Oxford",,,1950-01-27 00:00:00,,,
684,Kim Beazley,,1973.0,"University of Western Australia,University of Western Australia","MA,BA,MA,BA",Kim Christian Beazley,1948-12-14 00:00:00,,Mary Ciccarelli,Hannah Beazley
685,Kim Beazley,,1973.0,"University of Western Australia,BA,Australian National University,MA",,Kim Edward Beazley,1917-09-30 00:00:00,,Betty Judge,Kim Beazley
686,E. J. Dionne,,1973.0,"Harvard University,Balliol College, Oxford",,,1952-04-23 00:00:00,"Author, columnist",,3
687,Peter Gross,judge,1973.0,,,,,,,
688,Richard N. Haass,,1973.0,"Oberlin College,Wadham College, Oxford,St Antony's College, Oxford","DPhil,BA,MPhil",Richard Nathan Haass,1951-07-28 00:00:00,,Susan Mercandetti ,2
689,Chris Hendrickson,,1973.0,,,,,,,
690,Robert Joy,,1973.0,"Corpus Christi College, Oxford,Memorial University of Newfoundland",,,1951-08-17 00:00:00,Actor,Mary Joy,1
691,Frank Klotz,,1973.0,"U.S. Air Force Academy,University of Oxford,National War College",,Frank Graham Klotz,1950-09-07 00:00:00,,Nancy,
692,John Misha Petkevich,,1973.0,,,,,,,
693,Peter M. Sacks,,1973.0,,,,,,,
694,Alex Sceberras Trigona,,1973.0,University of Malta,,,1950-03-03 00:00:00,,Johanna nee Borg,2
695,Nicholas Allard,,1974.0,,,,,,,
696,T. A. Barron,,1974.0,"Princeton University,Harvard University",,,1952-03-26 00:00:00,Novelist,,
697,Rod Eddington,,1974.0,,,,,,,
698,Elliot Gerson,,1974.0,,,,,,,
699,Brian C. Griffin,,1974.0,,,,,,,
700,Alan Hobkirk,,1974.0,,,,,,,
701,Walter Isaacson,,1974.0,,,,,,,
702,Charles Thomas McMillen,,1974.0,,,,,,,
703,Mark Abley,,1975.0,,,,,,,
704,Kwamena Ahwoi,,1975.0,University of Oxford,,,1951-10-13 00:00:00,,,
705,John Bell,physician,1975.0,"University of Alberta,Magdalen College, Oxford","BMedSci,BA",John Irving Bell,1952-07-01 00:00:00,,,
706,Clayton Christensen,,1975.0,"Brigham Young University,B.A.,Queen's College, Oxford,M.Phil.,Harvard University,MBA,DBA",,Clayton Magleby Christensen,1952-04-06 00:00:00,,,
