schools,degrees,name,full_name,born,died,spouses,parents,sibling,offspring,second_cousin,cousin,occupation,employer,positions
"CNEC Christian College,Chinese University of Hong Kong",,Alice Mak Mei-kuen,,1971-11-01,,,,,,,,Legislative Councillor,,"Member of the Legislative Council,Member of the Kwai Tsing District Council"
"University College Dublin,Trinity College Dublin,The New School",,Alice-Mary Higgins,Alice-Mary Higgins,1975-04-10,,,"Michael D. Higgins,Sabina Higgins",,,,,,,Senator
,,Alice Mary Longfellow,,1850-09-22,"December 7, 1928",,,,,,,,,
"University of Wisconsin–Madison,Johns Hopkins University",,Alice O. Nakamura,Alice Orcutt,1945 (age 76–77),,Masao Nakamura,,,Emi Nakamura,,,,,
Bryn Mawr,,Alice Middleton Boring,,1883-02-22,"September 18, 1955",,,,,,,,,
,,Alice Parizeau,,1930-07-25,"September 30, 1990",,,,,,,,,
"Mount Holyoke College,Syracuse University,London School of Economics","BA,MPA,PhD",Alice Stone Ilchman,Alice Stone,"April 18, 1935","August 11, 2006 (aged 71)",Warren F. Ilchman,,,2,,,,,"8th President of Sarah Lawrence College,Assistant Secretary of State for Educational and Cultural Affairs"
,,Alice S. Langtry,,1932-06-29,"May 1, 2017",,,,,,,,,Member of the Pennsylvania House of Representativesfrom the 40th district
,,Alice Walpole,Alice Louise Walpole,1963-09-01,,Angel Carro Castrillo,"Robert Walpole, 10th Baron Walpole,Judith Chaplin",,6,,,,,"British Ambassador to Mali,British Ambassador to Luxembourg"
"Art Students League of New York,New York School of Art,Académie Colarossi",,Alice Woods Ullman,Alice Newton Woods,1871-11-22,"July 24, 1959",Eugene Paul Ullman,,,,,,,,
Simmons College,,Alice Wolf,,1933-12-24,,Robert (Bob) Wolf,,,Two,,,Legislator,,Member of theMassachusetts House of Representatives from the 25th Middlesex District
"Stanford University,UCLA",,Alice G. Wells,,1963 (age 58–59),,Kurt E. Amend,,,3,,,,,"Acting Assistant Secretary of State for South and Central Asian Affairs,United States Ambassador to Jordan"
University of Bayreuth,,Alice Weidel,Alice Elisabeth Weidel,1979-02-06,,,,,2,,,,,"Leader of the Alternative for Germany in the Bundestag,Leader of Alternative for Germany in Baden-Württemberg,Leader of the Opposition,Member of the Bundestag  for Baden-Württemberg"
"Impington Village College,Fitzwilliam College, Cambridge",,Alicia Kearns,Alicia Alexandra Martha Kearns,1987-11-11,,,,,2,,,,,Member of Parliamentfor Rutland and Melton
"Brandeis University,University of Wisconsin-Madison,Brandeis University,University of Wisconsin–Madison","University of Wisconsin-Madison,University of Wisconsin-Madison",Alicia Suskin Ostriker,,1937-11-11,,,,,Rebecca Ostriker,,,Poet,,
"University of Southern California,USC Gould School of Law","B.A.,J.D.",Alicemarie Huber Stotler,,1942-05-29,"June 9, 2014",,,,,,,,,"Senior Judge of the United States District Court for the Central District of California,Chief Judge of the United States District Court for the Central District of California,Judge of the United States District Court for the Central District of California"
University of Sarajevo,,Alija Behmen,,1940-12-25,1 August 2018,,,,,,,,,"36th Mayor of Sarajevo,4th Prime Minister of the Federation of Bosnia and Herzegovina"
,,Alina Pienkowska,,12 January 1952,17 October 2002,,,,,,,,,Senator
,,Alija Dumas,,1929-10-19,,,,,,,,,,Member of the Pennsylvania House of Representativesfrom the 188th district
"Durham University,University of Strathclyde",,Aline Miller,Aline Fiona Miller,October 1975 (age 46),,Alberto Saiani,,,,,,,,
Queen's University,,Alison Gordon,,1943-01-19,"February 12, 2015",,J. King Gordon,,,,,"Sportswriter,novelist",,
"Princeton University,Stanford University",,Alison Marsden,,"June 9, 1976",,,,,,,,,,
,,Alison Miller,Alison Beth Miller,,,,,,,,,,,
,,Alison Johnstone,,1965-10-11,,,,,1,,,,,"Presiding Officer of the Scottish Parliament,Co-Leader of the Greens in the Scottish Parliament,Scottish Greens Spokesperson for Health, Sport, Social Security, Children and Young People,Member of the Scottish Parliamentfor Lothian.mw-parser-output .nobold{font-weight:normal}(1 of 7 Regional MSPs)"
University College London,,Alison McGovern,,1980-12-30,,Ashwin Kumar,,,1,,,,,"Shadow Minister for Employment,Shadow Minister for Cultural Industries and Sport[a],Chair of the Advisory Committee on Works of Art,Shadow Financial Secretary to the Treasury,Shadow Minister for Children and Families,Shadow Minister for International Development,Member of Parliamentfor Wirral South,Member of Southwark Councilfor Brunswick Park"
University of Leeds,,Dame Alison Saunders,Alison Margaret Brown,1961-02-14,,Neil Saunders,,,2,,,,,Director of Public Prosecutions
,,The Baroness Suttie,Alison Suttie,1968-08-27,,,,,,,,,,Member of the House of LordsLord Temporal
,,Alison Turnbull Hopkins,Alison Low Turnbull,1880-05-20,"March 18, 1951",John Appleton Haven Hopkins,,,3,,,Suffragist,,
,,Alissa Susan Crans,,,,,,,,,,,,
University of Aberdeen,,Alison Thewliss,,1982-09-13,,,,,2,,,,,"SNP Treasury Spokesperson,Member of Parliamentfor Glasgow Central"
"Stanford University,University of Hawaii at Manoa",,Alissa Keny-Guyer,,1959-05-20,,Neal Keny-Guyer,,,"Evan (born 1990), Jordan (born 1993), Maraya (born 1996)",,,,,Member of the Oregon House of Representativesfrom the 46th[1] district
"Downside School,Lincoln College, Oxford",,Alistair Asprey,Alistair Peter Asprey,1944-06-11,,,,,1 son and 1 daughter,,,Civil servant,,"Secretary for Security,Deputy Secretary for Security,Military service"
"Downside School,Lincoln College, Oxford",,Alistair Asprey,Alistair Peter Asprey,1944-06-11,,,,,1 son and 1 daughter,,,Civil servant,,"Secretary for Security,Deputy Secretary for Security,Military service"
"St John's College, Oxford",,Alistair Burt,Alistair James Hendrie Burt,1955-05-25,,Eve Alexandra Twite,,,,,,,,"Minister of State for Middle East and North Africa[a],Minister of State for International Development,Minister of State for Community and Social Care,Minister of State for Disabled,Member of Parliament  for North East Bedfordshire,Member of Parliament  for Bury North,Pro-Chancellor of Lancaster University"
"Glenalmond College,Heriot-Watt University",,Alister Jack,Alister William Jack,1963-07-07,,Ann Hodgson,,,3,,,,,"Secretary of State for Scotland,Lord Commissioner of the Treasury,Member of Parliament  for Dumfries and Galloway"
University of Aberdeen,,The Lord Darling of Roulanish,,1953-11-28,,Margaret Vaughan,,,2,,,,,"Chancellor of the Exchequer,Secretary of State for Trade and Industry[a]President of the Board of Trade,Secretary of State for Scotland,Secretary of State for Transport,Secretary of State for Work and Pensions[b],Chief Secretary to the Treasury,Shadow Chancellor of the Exchequer,Shadow Chief Secretary to the Treasury,Member of the House of Lords,Member of Parliamentfor Edinburgh South West.mw-parser-output .nobold{font-weight:normal}Edinburgh Central (1987–2005)"
,,Aliyu Modibbo Umar,,1958-11-15,,,,,,,,,,"Minister of the Federal Capital Territory,Minister of Commerce,Minister of State for Power and Steel"
"University of Madras,Tata Institute of Fundamental Research,University of Manchester",,Alladi Ramakrishnan,,9 August 1923,7 June 2008 (aged 85),,,,,,,,,
"Vanderbilt University,Harvard University","BA,MBA,JD",Allan B. Hubbard,,1947-09-08,,,,,,,,,,"6th Director of the National Economic Council,Chair of the Indiana Republican Party"
,,Allan Bartholomew Walsh,,"August 29, 1874","August 5, 1953 (aged 78)",,,,,,,,,"Member of the U.S. House of Representativesfrom New Jersey's 4th district,Member of the New Jersey General Assembly"
,,Allan Bense,,1951-10-06,,Tonie Johnson,,,,,,,,"93rd Speaker of the Florida House of Representatives,Member of the Florida House of Representativesfrom the 6th district"
"Rutgers University,Stevens Institute of Technology,Cornell University",,Allan Borodin,,1941 (age 80–81),,,,,,,,,,
University of Saskatchewan,,Alison Redford,Alison Merrilla Redford,1965-03-07,,Glen Jermyn ,,,1,,,,,"14th Premier of Alberta,Leader of the Progressive Conservative Association of Alberta,Minister of Justice andAttorney General of Alberta,Member of the Legislative Assembly of Alberta for Calgary-Elbow"
,,Allan Blakeney,Allan Emrys Blakeney,1925-09-07,"April 16, 2011",Anne Gorham,,,4,,,,,"10th Premier of Saskatchewan,Leader of the Opposition,Member of the Legislative Assembly of Saskatchewan,Member of the Legislative Assembly of Saskatchewan,Member of the Legislative Assembly of Saskatchewan,Member of the Legislative Assembly of Saskatchewan,President of the New Democratic Party"
Penn State University,,C. Allan Egolf,,1938-06-07,"September 10, 2021",Nancy,,,"Mark, Pamela",,,"U.S. Air Force, retired",,"Member of the Pennsylvania House of Representativesfrom the 86th district,Military service"
,,Allan C. Durborow Jr.,,1857-11-10,"March 10, 1908",,,,,,,,,Member of the U.S. House of Representativesfrom Illinois's 3rd district
,,Allan Eliott-Lockhart,,24 January 1803,15 March 1878,,,,,,,,,Member of Parliament  for Selkirkshire
"Nigerian Defence Academy,Royal College of Defence Studies",,Aliyu Mohammed Gusau,,1943-05-18,,,,,,,,,,"Minister of Defence,Chief of Army Staff,National Security Adviser,Commandant Nigerian Defence Academy,Director of the National Security Organisation,Chief of Defence Intelligence,Military service"
,,Allan Benny,,1867-07-12,"November 6, 1942",,,,,,,,,Member of the U.S. House of Representativesfrom New Jersey's 9th district
"Keamey State Teachers College,University of Nebraska,University of Michigan",,Allan F. Smith,,1911-12-19,"January 21, 1994",,,,,,,,,Interim President of the University of Michigan
,,Allan H. Spear,,1937-06-24,"October 11, 2008",Junjiro Tsuji,,,,,,,,"7th President of the Minnesota Senate,Member of the Minnesota Senatefrom the 57th, then 59th, then 60th district"
Australian National University,,Allan Hawke,,1948-02-18,,Maria Michele Senti,,,,,,"Public servant,Diplomat,Chancellor,Company director",,
,,Allan Chapman,,1897-03-18,7 January 1966,,,,,,,,,Member of Parliamentfor Rutherglen
,,"Allan W. Holman, Jr.",,"July 28, 1929","September 6, 2010",Joan Robinson Holman,,,"Andrew Holman, Robin Loy, Anne Hastie",,,lawyer,,"Member of the Pennsylvania House of Representativesfrom the 86th district,Member of the Pennsylvania House of Representativesfrom the Perry County district"
"Swarthmore College,Harvard Law School","A.B.,LL.B.",Allan Kuhn Grim,Allan Kuhn Grim,1904-10-15,"December 7, 1965",,,,,,,,,"Senior Judge of the United States District Court for the Eastern District of Pennsylvania,Judge of the United States District Court for the Eastern District of Pennsylvania"
,,Allan J. Katz,Allan Jack Katz,1947-04-30,,,,,,,,,,United States Ambassador to Portugal
,,Allan Langdon McDermott,,1854-03-30,"October 26, 1908",,,,,,,,,"Member of the U.S. House of Representativesfrom New Jersey's 10th district,Member of the U.S. House of Representativesfrom New Jersey's 7th district"
,,Allan MacMaster,,1974-09-26,,,,,,,,,,"Deputy Premier of Nova Scotia,Member of the Nova Scotia House of Assemblyfor Inverness"
"McMaster University,Oxford University",,Allan Leal,Herbert Allan Borden Leal,1917-06-15,"October 12, 1999",,,,,,,civil servant and academic,,Chancellor of the McMaster University
,,Allan MacEachen,Allan Joseph MacEachen,1921-07-06,"September 12, 2017",,,,,,,,,"1st Deputy Prime Minister of Canada,Secretary of State for External Affairs,Minister of Finance,Minister of Labour,Member of Parliamentfor Cape Breton Highlands—Canso,Member of Parliamentfor Inverness—Richmond"
,,Allan Napier MacNab,,1798-02-19,8 August 1862,,,,,,,,,"Joint Premier of the Province of Canada,Member of the Legislative Assembly of Upper Canada for Wentworth County,Member of the Legislative Assembly of Upper Canada for Hamilton,Member of the Legislative Assembly of the Province of Canada for Hamilton"
"Swarthmore College,Harvard University",,Allan Gibbard,Allan Fletcher Gibbard,1942-04-07,,,,,,,,,,
"University of Tübingen,University of Marburg,University of Edinburgh,University of Glasgow",,Allan Macartney,,17 February 1941,25 August 1998,Anne Forsyth (m. 1963-1998),,,3,,,,,"Depute Leader of the Scottish National Party,Member of the European Parliamentfor North East Scotland"
,,Allan McCready,,1 September 1916,8 August 2003,,,,,,,,,24th Minister of Defence
Coastline Community College,,Allan Mansoor,Allan Roy Mansoor,1964-06-16,,Janniffer Grubisich (m. 2013),,,,,,Deputy Sheriff,,"Member of the California State Assemblyfrom the 74th district68th district (2010–2012),Mayor of Costa Mesa,Costa Mesa City Councillor"
,,Allan McLane,,1746-08-08,"May 22, 1829",,,,,,,"Soldier,judge,U.S. Customs collector",,
,,Allan McLean,,3 February 1840,13 July 1911,Margaret Shinnick,,,,,,,,"19th Premier of Victoria,Federal Minister for Trade and Customs,Member of the Australian House of Representatives,Member of the Victorian Legislative Assembly"
"Grays Harbor College,University of Washington,University of Illinois at Urbana-Champaign",,Allan Mustard,,,,,,,,,,,,United States Ambassador to Turkmenistan
Columbia University College of Physicians and Surgeons,,Allan McLane Hamilton,,1848-10-06,"November 23, 1919",Florence Rutgers Craig,Philip Hamilton (the second),,Louis McLane Hamilton (lieutenant),,,Psychiatrist,,
,,Allan Mossop,,1887-07-30,14 June 1965,,,,,,,,,"Chief Judge, British Supreme Court for China,British Crown Advocate for China"
,,Allan Rocher,,1936-02-16,18 March 2016,,,,,,,,,"Senator for Western Australia,Member of the Australian Parliamentfor Curtin"
"California Institute of Technology,University of Illinois",,Allan Sandage,,1926-06-18,"November 13, 2010",,,,,,,,,
,,Allan Rogers,,1932-10-24,,,,,,,,,,"Member of Parliamentfor Rhondda,Member of the European Parliament  for South East Wales"
,,Allan Rock,Allan Michael Rock,1947-08-30,,Deborah Hanscom,,,,,,,,"Canadian Ambassador to the United Nations,Member of Parliamentfor Etobicoke Centre,Minister of Justice,Minister of Health,52nd Treasurer of the Law Society of Upper Canada"
,,Sir Allan Ross Welsh,,1875-07-08,1957 (aged 81–82),Lady Maude Marianne Welsh,,,,,,,,"2nd Speaker of the Legislative Assembly,Member of the Southern Rhodesian Legislative Assembly for Bulawayo North"
,,Allan H. Spear,,1937-06-24,"October 11, 2008",Junjiro Tsuji,,,,,,,,"7th President of the Minnesota Senate,Member of the Minnesota Senatefrom the 57th, then 59th, then 60th district"
University of Washington School of Law,,Allan Shepard,,1922-12-18,"May 27, 1989",Donna Shepard,,,5,,,,,"Chief Justice of the Idaho Supreme Court,Justice of the Idaho Supreme Court,24th Attorney General of Idaho,Military service"
,,Allan Sayre,,1969-11-12,,,,,,,,,,Member of the Ohio House of Representativesfrom the 96th district
"University of Texas, Austin",LLB,Allan Shivers,Robert Allan Shivers,1907-10-05,"January 14, 1985",Marialice Shary,,,3 sons,,,,,"37th Governor of Texas,Chair of the National Governors Association,33rd Lieutenant Governor of Texas,Member of the Texas Senatefrom the 4th district,Military service"
University of Utah,,Allan Turner Howe,,1927-09-06,"December 14, 2000",,,,,,,,,"Member of the U.S. House of Representativesfrom Utah's 2nd district,Military service"
,,Allan Wilson,,1954-08-05,,,,,,,,,,Member of the Scottish Parliamentfor Cunninghame North
"University of California, Berkeley,New York University","BA,LLB",Allan Sproul,,1896-03-09,"April 9, 1978",,,,,,,,,President of the Federal Reserve Bank of New York
"Harvard University,Stanford University",,Allegra Goodman,,1967 (age 54–55),,,,,,,,Novelist,,Website
"University of Tasmania,University of Oxford",,Allan Taylor,,1941-08-23,19 July 2007,Carol,,,,,,Diplomat,,9th Director-General of the Australian Secret Intelligence Service
"University of North Carolina, Chapel Hill,Yale University","BA,LLB",Allard Lowenstein,Allard Kenneth Lowenstein,1929-01-16,"March 14, 1980",Jennifer Lyman,,,3,,,,,Member of the U.S. House of Representativesfrom New York's 5th district
,,Allegra Byron,Alba Byron,1817-01-12,20 April 1822,,"George Gordon, Lord Byron,Claire Clairmont",,,,,,,
Rensselaer Polytechnic Institute,,Allen B. DuMont,Allen Balcom DuMont,1901-01-29,14 November 1965,,,,,,,,,
"Trinity College, Oxford",,The Earl Bathurst,,16 November 1684,16 September 1775 (aged 90),Catherine Apsley,"Benjamin Bathurst (1635%E2%80%931704),Frances Apsley",,"Henry Bathurst, 2nd Earl Bathurst",,,,,Captain of the Gentlemen Pensioners
"Princeton University,read law",,Allen Bowie Duckett,Allen Bowie Duckett,1775,"July 19, 1809",,,,,,,,,Judge of the United States Circuit Court of the District of Columbia
University of South Carolina,,Allard Henry Gasque,,1873-03-08,"June 17, 1938",Elizabeth Hawley Gasque,,,,,,,,Member of the U.S. House of Representativesfrom South Carolina's 6th district
University of Texas School of Law,LL.B.,Allen Burroughs Hannay,Allen Burroughs Hannay,1892-02-14,"October 22, 1983",,,,,,,,,"Senior Judge of the United States District Court for the Southern District of Texas,Chief Judge of the United States District Court for the Southern District of Texas,Judge of the United States District Court for the Southern District of Texas"
University of South Carolina,,Allard Henry Gasque,,1873-03-08,"June 17, 1938",Elizabeth Hawley Gasque,,,,,,,,Member of the U.S. House of Representativesfrom South Carolina's 6th district
"Princeton University,George Washington University","BA,LLB",Allen Dulles,Allen Welsh Dulles,1893-04-07,"January 29, 1969","Martha ""Clover"" Todd",,,3,,,,,"Director of Central Intelligence,Deputy Director of Central Intelligence,Deputy Director of Central Intelligence for Plans"
"University of Oklahoma,Southeastern State College","B.A.,LL.B.",Allen E. Barrow,Allen Edward Barrow,1914-01-22,"February 26, 1979",,,,,,,,,"Chief Judge of the United States District Court for the Northern District of Oklahoma,Judge of the United States District Court for the Northern District of Oklahoma"
"Auburn University,University of Florida","BSBA,JD",Allen Winsor,Allen Cothrel Winsor,1976-09-09,,,,,,,,,,"Judge of the United States District Court for the Northern District of Florida,Judge of the Florida First District Court of Appeal,Solicitor General of Florida"
"Dartmouth College,Yale Law School","LL.B.,AB",Allen E. Ertel,Allen Edward Ertel,1937-11-07,"November 19, 2015",Catherine Ertel,,,,,,,,"Member of the U.S. House of Representativesfrom Pennsylvania's 17th district,District Attorneyof Lycoming County"
"George Mason University,Stanford University","BBA,MBA",Allen Johnson,Allen Frederick Johnson,", U.S.",,,,,,,,,,United States Chief Agricultural Negotiator
,,Allen F. Moore,,1869-09-30,"August 18, 1945",,,,,,,,,Member of the U.S. House of Representativesfrom Illinois's 19th district
"City College of New York,University of Pennsylvania Law School","LL.B.,B.B.A.",Allen G. Schwartz,Allen G. Schwartz,1934-08-23,"March 22, 2003",Joan Teitel (married 1965),,,,,,,,Judge of the United States District Court for the Southern District of New York
"Kent State University,Duquesne Law School",,Allen G. Kukovich,,September 1947,,,,,,,,,,"Member of the Pennsylvania Senatefrom the 39th district,Chairman of thePennsylvania Democratic Party,Member of the Pennsylvania House of Representativesfrom the 56th district"
Florida State University,BS,Allen Boyd,Frederick Allen Boyd Jr.,1945-06-06,,Cissy Roush (Divorced),,,3,,,,,"Member of the U.S. House of Representativesfrom Florida's 2nd district,Member of the Florida House of Representativesfrom the 10th district,Member of the Florida House of Representativesfrom the 11th district,Military service"
,,Sir Allen Fairhall,,1909-11-24,3 November 2006,Monica Ballantyne,,,,,,"Electrical fitter, radio officer",,"Minister for Defence,Minister for Supply,Minister for the InteriorMinister for Works,Member of the Australian Parliamentfor Paterson"
"Oberlin College,Stanford University",,Allen E. Hatcher,,1944-10-23,,,,,,,,,,
,,Allen E. Stebbins,,1872-12-08,"January 25, 1941",,,,,,,,,39th Lieutenant Governor of Michigan
,,Allen G. Rushlight,,1874-02-26,"January 6, 1930",,,,,,,,,"37th Mayor of Portland, Oregon,Member of the Oregon House of Representativesfrom the 18th district"
,,Allen G. Thurman,Allen Granberry Thurman,1813-11-13,"December 12, 1895",Mary Dun Tompkins,,,Allen W. Thurman,,,,,"President pro tempore of the United States Senate,United States Senatorfrom Ohio,Chief Justice of the Ohio Supreme Court,Associate Justice of the Ohio Supreme Court,Member of the U.S. House of Representativesfrom Ohio's 8th district"
,,Allen Hobbs,,"July 30, 1899",23 November 1960,,,,,,,Naval officer,,"35th Hydrographer of the United States Navy,32nd Governor of American Samoa,Military service"
,,Allen I. Olson,Allen Ingvar Olson,1938-11-05,,Barbara Benner Olson,,,3,,,,,"28th Governor of North Dakota,25th Attorney General of North Dakota,Military service"
University of Michigan,BS,Allen Lee Peng-fei,,1940-04-24,15 May 2020,Maria Choi Yuen-ha,,,3,,,Company director,,"Chairman of the Liberal Party,Unofficial Member of the Executive Council,Senior Member of the Legislative Council,Member of the Legislative Council"
"Kent State University,Duquesne Law School",,Allen G. Kukovich,,September 1947,,,,,,,,,,"Member of the Pennsylvania Senatefrom the 39th district,Chairman of thePennsylvania Democratic Party,Member of the Pennsylvania House of Representativesfrom the 56th district"
,,Allen Kolstad,,1931-12-24,"August 2, 2008",,,,,,,Farmer and politician,,29th Lieutenant Governor of Montana
,,Allen M. Fletcher,,1853-09-25,"May 11, 1922","Mary Elizabeth Bence (July 18, 1857 – May 9, 1942)",,,1,,,,,"54th Governor of Vermont,Member of the Vermont Senate from Windsor County,Member of the Vermont House of Representatives from Cavendish"
"West Virginia University,,Morgantown,Capital University,American University,University of London","BS,SJD,JD,LLM",Allen Loughry,"Allen Hayes Loughry, II",1970-08-09,,,,,,,,,,"Chief Justice of the West Virginia Supreme Court of Appeals,Justice of the West Virginia Supreme Court of Appeals"
Boston College,"BA,JD",Allen McCarthy,,1970-02-24,,Diane,,,3,,,,,Member of the Massachusetts House of Representativesfrom the 7th Plymouth district
University of Vermont,,Allen R. Sturtevant,,1879-08-27,"September 15, 1966","Anna Bonner (m. 1904-1966, his death)",,,3,,,Attorney,,"Associate Justice of the Vermont Supreme Court,Chief Judge of the Vermont Superior Court,Judge of the Vermont Superior Court,State's Attorney of Addison County, Vermont"
Massachusetts Institute of Technology,,Allen Shields,,1927-05-07,"September 16, 1989",,,,,,,,,
"University of Virginia,Yale University",,Allen T. Caperton,Allen Taylor Caperton,1810-11-21,"July 26, 1876",,,,,,,,,"United States Senatorfrom West Virginia,Confederate States Senatorfrom Virginia,Member of the Virginia House of Delegates from Monroe County"
"Indiana State University,Indiana University Maurer School of Law,Butler University","M.A.,B.A.,J.D.",Allen Sharp,Allen Sharp,1932-02-11,"July 10, 2009",,,,,,,,,"Senior Judge of the United States District Court for the Northern District of Indiana,Chief Judge of the United States District Court for the Northern District of Indiana,Judge of the United States District Court for the Northern District of Indiana"
,,Allen Thomas,,1830-12-14,"December 3, 1907",,,,,,,,,
,,Allen Walker Read,,1906-06-02,"October 16, 2002.",,,,,,,"Etymologist, lexicographer",,
,,Allen Trimble,,1783-11-24,"February 3, 1870",,,,Eliza Thompson,,,,,"8th & 10th Governor of Ohio,12th Speaker of the Ohio Senate,Member of the Ohio Senate from Highland and Fayette counties,Member of the Ohio House of Representatives from Highland County"
,,Allen Wardner,,1786-12-13,"August 29, 1877","Minerva Bingham (Married 1814, died 1841)",,,George,,,,,"Vermont State Treasurer,Member of the Vermont Governor's Council,Member of the Vermont House of Representatives from Windsor"
"St John's College, Cambridge",,The Lord St Helens,,1 March 1753,19 February 1839,,,,,,,diplomat,,Chief Secretary for Ireland
,,Sir Allen Taylor,,1864-05-13,30 September 1940,Adela Mary Elliot,,,,,,,,"43rd Lord Mayor of Sydney,Alderman of the Sydney City Council,Member of the Legislative Council of New South Wales"
"University of North Carolina at Chapel Hill,North Carolina Central University","BA,JD",Allen Wellons,Allen Hewitt Wellons,1949-03-12,,Elizabeth,,,,,,,,Member of the North Carolina Senatefrom the 11th district
College of William & Mary,,Allie Edward Stakes Stephens,,1900-11-04,"June 9, 1973",Anna Spratley Delk,,,,,,,,"27th Lieutenant Governor of Virginia,Member of the Virginia Senatefrom the 5th district,Member of the Virginia House of Delegates from Isle of Wight County"
College of William & Mary,,Allie Edward Stakes Stephens,,1900-11-04,"June 9, 1973",Anna Spratley Delk,,,,,,,,"27th Lieutenant Governor of Virginia,Member of the Virginia Senatefrom the 5th district,Member of the Virginia House of Delegates from Isle of Wight County"
"University of Nevada, Las Vegas",,Allison Copening,Allison Mellot,1964-07-04,"January 18, 2020",,,,,,,Businesswoman,,Member of the Nevada Senatefrom the 6th district
,,Allison Amaechina Madueke,,1944 (age 77–78),,,,,,,,,,"Chief of Naval Staff,Military Governor of Anambra State,Military Governor of Imo State,Military service"
"Ontario Agricultural College,Dalhousie Law School",,A. Allison Dysart,,1880-03-22,"December 8, 1962",Blanche Cannel McDougall,,,1 son and 2 daughters,,,lawyer and judge,,"22nd Premier of New Brunswick,MLA for Kent"
"Wake Forest University,Duke University","BA,JD",Allison Jones Rushing,Allison Blair Jones,1982 (age 39–40),,Blake Rushing,,,,,,,,Judge of the United States Court of Appeals for the Fourth Circuit
Central Michigan University,,Allison R. Green,,1911-10-28,"March 26, 2005",Marjorie,,,,,,,,"57th Speaker of the Michigan House of Representatives,Member of the Michigan House of Representativesfrom the Tuscola County district,36th Michigan State Treasurer"
,,Allison Amaechina Madueke,,1944 (age 77–78),,,,,,,,,,"Chief of Naval Staff,Military Governor of Anambra State,Military Governor of Imo State,Military service"
,,Allie Ray Hull,,1915-06-24,"December 11, 2006",Virginia Burns,,,,,,,,"Member of the Virginia House of Delegatesfrom the 10th district,Military service"
Yale University,,Allison Pataki,,1984-11-25,,,,,,,,Writer,,Website
,,The Baroness Birk,Alma Lillian Wilson,1917-09-22,29 December 1996,,,,,,,Politician,,
"Hampton University,Duke University School of Law","BA,JD",Allyson Kay Duncan,,1951-09-05,,,,,,,,,,"Senior Judge of the United States Court of Appeals for the Fourth Circuit,Judge of the United States Court of Appeals for the Fourth Circuit"
,,Alma G. Stallworth,,1932-11-15,"August 25, 2020",,,,,,,Politician,,"Member of the Michigan House of Representativesfrom the 8th district,Member of the Michigan House of Representativesfrom the 12th district4th District (1983-1992),Member of the Michigan House of Representativesfrom the 4th district15th District (1971-1972)"
Harvard University,,Maurice Wertheim,,1886-02-16,"March 27, 1950",Alma Morgenthau,,,"Barbara W. Tuchman,Anne W. Simon",,,,,
"American University,University of California",,Allison Silberberg,,1963 (age 58–59),,,,,,,,,,"Mayor of Alexandria, Virginia"
,,Alma Wilson,Alma Dorothy Bell,1917-05-25,"July 27, 1999",William Allan Wilson,,,,,,"attorney, judge",,Justice of the Oklahoma Supreme Court
"Delhi University,London School of Economics",,Alok Bhargava,,1954-07-13,,,,,,,,"Professor,University of Maryland School of Public Policy",,
University of Salford,,Alok Sharma,,1967-09-07,,,,,2,,,,,"President for COP26Minister of State at the Cabinet Office,Secretary of State for Business, Energy and Industrial Strategy,Secretary of State for International Development,Minister of State for Employment,Minister of State for Housing,Parliamentary Under-Secretary of State for Asia and the Pacific,Member of Parliamentfor Reading West"
University of Michigan,Journalism,Alma Wheeler Smith,,1941-08-06,,,,,,,,,,"Member of the Michigan House of Representativesfrom the 54th district,Member of the Michigan Senatefrom the 18th district"
"University of California, San Diego,New York University","BA,PhD,MPhil",Alondra Nelson,,1968 (age 53–54),,,,,,,,,,"Director of the Office of Science and Technology Policy,Deputy Director of the Office of Science and Technology Policy for Science and Society,Academic background,Academic work"
" Simmons College,Bryn Mawr College","BA,MSW",Allyson Schwartz,Allyson Young,1948-10-03,,David Schwartz,,,2,,,,,"Member of the U.S. House of Representativesfrom Pennsylvania's 13th district,Member of the Pennsylvania Senatefrom the 4th district"
,,Alonzo B. Cornell,Alonzo Barton Cornell,"January 22, 1832","October 15, 1904","
",Ezra Cornell,,,,,,,"27th Governor of New York,Member of the New York State Assemblyfrom the New York County, 11th district"
,,Alonzo Cooper Rand,,1831-12-31,"July 12, 1885",Celine M. Johnson,,,,,,Petroleum industry,,11th Mayor of Minneapolis
University of North Carolina at Chapel Hill,,Alonzo Dillard Folger,,1888-07-09,"April 30, 1941",,,,,,,lawyer,,Member of the U.S. House of Representativesfrom North Carolina's 5th district
,,Alonzo D. Dick,,1813,"October 9, 1872",,,,,,,,,Member of the Wisconsin State Assemblyfrom the Calumet district
,,Alonzo Jacob Ransier,,1834-01-03,"August 17, 1882",,,,,,,,,"Member of the U.S. House of Representativesfrom South Carolina's 2nd district,56th Lieutenant Governor of South Carolina,Member of the South Carolina House of Representatives from Charleston County"
,,Alonzo Monroe Clark,,1868-08-13,"October 12, 1952",,,,,,,,,"16th Governor of Wyoming,8th Secretary of State of Wyoming"
,,Alonzo Monroe Clark,,1868-08-13,"October 12, 1952",,,,,,,,,"16th Governor of Wyoming,8th Secretary of State of Wyoming"
,,Alp Yalman,,1940-01-01,,,,,,,,,,29th President of Galatasaray SK
,,Alonzo Whitney Adams,,"March 7, 1820","February 22, 1887",,,,,,,,,"Member of the California Senate from District 17,Military service"
