,name,full_name,born,died
8535,Daniel McCook,,1798-06-20 00:00:00,"July 21, 1863"
8536,Daniel Montgomery Jr.,,1765-10-30 00:00:00,"December 30, 1831"
8537,Daniel T. McNeill,,1947-07-19 00:00:00,"September 8, 2017"
8538,Dan Meltzer,,1951-12-17 00:00:00,"May 24, 2015"
8540,Daniel Mulcahy,Daniel Mulcahy,1857,6 January 1932 (aged 74-75)
8541,Daniel Moreau Barringer,,1806-07-30 00:00:00,"September 1, 1873"
8543,Daniel Oduber Quirós,,1921-08-25 00:00:00,13 October 1991
8544,Daniel N. Morgan,,1844-08-18 00:00:00,"May 30, 1931"
8545,Daniel Oliver Morton,,1815-11-08 00:00:00,"December 5, 1859"
8546,Daniel O'Connell,,1776-08-06 00:00:00,15 May 1847
8547,Daniel Pope Cook,,1794,"October 16, 1827"
8549,Daniel Morgan,,1735, (aged 65–67)
8550,Daniel Owen,,1732,"October 21, 1812 (aged 79–80)"
8551,Daniel Putnam King,,"January 8, 1801","July 25, 1850 (aged 49)"
8553,Daniel P. Ward,,"August 30, 1918","April 23, 1995 (age 76)"
8556,Daniel Pollen,,1813-06-02 00:00:00,18 May 1896
8557,Daniel Parke Jr.,,1664-09-05 00:00:00,7 December 1710
8558,Daniel Parke Custis,,1711-10-15 00:00:00,"July 8, 1757"
8559,Daniel Pope Cook,,1794,"October 16, 1827"
8560,Daniel Patrick Moynihan,,1927-03-16 00:00:00,"March 26, 2003"
8562,Daniel Haymond Polsley,,1803-11-28 00:00:00,"October 14, 1877"
8569,Daniel Ringo,Daniel Ringo,1803-10-27 00:00:00,"September 3, 1873"
8571,Daniel Read Anthony Jr.,,1870-08-22 00:00:00,"August 4, 1931"
8572,Daniel Crissinger,,1860-12-10 00:00:00,"July 12, 1942"
8573,Daniel Rapine,,1768-06-11 00:00:00,"July 29, 1826"
8575,Daniel Rogers,,1754-01-03 00:00:00,"February 2, 1806"
8576,Daniel Rodney,,1764-09-10 00:00:00,"September 2, 1846"
8577,Daniel Russell Brown,,1848-03-28 00:00:00,"February 28, 1919"
8579,Daniel Ryan Sr.,,1861/1862, (aged 61)
8580,Daniel Ryan,Daniel Ryan,1865-04-04 00:00:00,11 December 1952
8582,Daniel Sargent Curtis,,1825,1908
8583,Daniel Sargent,,1764-01-15 00:00:00,"April 2, 1842"
8584,Daniel S. Paletko,,1950-12-21 00:00:00,"December 29, 2020"
8586,Daniel Sargent Sr.,,1730-03-18 00:00:00,"February 18, 1806"
8587,Daniel S. Lamont,Daniel Scott Lamont,1851-02-09 00:00:00,"July 23, 1905"
8588,Daniel Sheffey,,1770,"December 3, 1830"
8589,Daniel Schaefer,,"January 25, 1936","April 16, 2006"
8590,Daniel S. Dickinson,Daniel Stevens Dickinson,1800-09-11 00:00:00,"April 12, 1866"
8592,Daniel Sickles,,1819-10-20 00:00:00,"May 3, 1914"
8594,Daniel Smith,,1748-10-29 00:00:00,"June 16, 1818"
8595,Daniel Stevens,,1746,"March 20, 1835"
8597,Daniel Spader Voorhees Jr.,,1852-08-15 00:00:00,"August 12, 1935"
8598,Daniel Smith Donelson,,1801-06-23 00:00:00,"April 17, 1863"
8600,Daniel Symmes,,1772,"May 10, 1817"
8601,Daniel B. Strickler,,1897-05-17 00:00:00,"June 29, 1992"
8602,Daniel Sutherland,,1869-04-17 00:00:00,"March 24, 1955"
8603,Daniel Tarbox Jewett,,1807-09-14 00:00:00,"October 7, 1906"
8604,Daniel Toscan de Plantier,,1941-04-07 00:00:00,11 February 2003
8606,Daniel T. McCarty,,1912-01-18 00:00:00,"September 28, 1953"
8607,Daniel Thew Wright,Daniel Thew Wright,1864-09-24 00:00:00,"November 18, 1943"
8609,Daniel Udree,,"August 5, 1751","July 15, 1828"
8613,Daniel Bell,Daniel Wafena Bell,1891-07-23 00:00:00,"October 4, 1971"
8614,Daniel W. Mills,,1838-02-25 00:00:00,"December 16, 1904"
8615,Daniel Wallace,,1801-05-09 00:00:00,"May 12, 1859"
8616,Daniel Wheelwright Gooch,,1820-01-08 00:00:00,"November 1, 1891"
8617,Daniel Webster Comstock,,"December 16, 1840","May 19, 1917 (aged 76)"
8619,Daniel Wallace,,1801-05-09 00:00:00,"May 12, 1859"
8621,Daniel Wolsey Voorhees,,1827-09-26 00:00:00,"April 10, 1897"
8622,Daniel Hoan,Daniel Webster Hoan,1881-03-12 00:00:00,"June 11, 1961"
8623,Daniel Webster,,1782-01-18 00:00:00,"October 24, 1852"
8624,Daniel Webster Turner,,1877-03-17 00:00:00,"April 15, 1969"
8625,Daniel Wells Jr.,,1808-07-16 00:00:00,"March 18, 1902"
8626,Daniel Wells Jr.,,1808-07-16 00:00:00,"March 18, 1902"
8627,Daniel William O'Donoghue,Daniel William O'Donoghue,1876-10-15 00:00:00,"June 29, 1948"
8628,Daniel Weisiger Adams,,1821-05-01 00:00:00,"June 13, 1872"
8630,Daniel Wolsey Voorhees,,1827-09-26 00:00:00,"April 10, 1897"
8635,Danielle Mitterrand,Danielle Émilienne Isabelle Gouze,1924-10-29 00:00:00,22 November 2011
8637,Danielle Darrieux,Danielle Yvonne Marie Antoinette Darrieux,1917-05-01 00:00:00,17 October 2017
8653,Dante Caputo,,1943-11-25 00:00:00,20 June 2018
8655,Dante DiPaolo,Dante Cesare DiPaolo,1926-02-18 00:00:00,"September 4, 2013"
8658,Dany Tuijnman,Daniël Sebastiaan Tuijnman,1915-04-16 00:00:00,25 April 1992
8659,Dante Fascell,Dante Bruno Fascell,1917-03-09 00:00:00,"November 28, 1998"
8662,Darby Riordan,David Riordan,1886-07-23 00:00:00,15 October 1936
8676,Darius Mead,,1787-07-09 00:00:00,"January 28, 1864"
8680,Darius Ogden Mills,,1825-09-25 00:00:00,"January 3, 1910"
8681,Darius Dodge Hare,,1843-01-09 00:00:00,"February 10, 1897"
8682,Darrel Peterson,,1939-03-08 00:00:00,"February 3, 1994"
8702,Darryl N. Johnson,,1938,"June 24, 2018"
8704,Darwin Hall,,1844-01-23 00:00:00,"February 23, 1919"
8706,Daryl Arnold,,1924-11-12 00:00:00,"December 30, 1997"
8712,Dave Arnold,,1971-12-07 00:00:00,"January 17, 2021"
8716,Dave Cox,,1938-02-20 00:00:00,"July 13, 2010"
8720,Dave Cogdill,David Ellis Cogdill,1950-12-31 00:00:00,"July 23, 2017"
8726,Dave Hall,Paul Davis Hall,1906-07-13 00:00:00,"August 22, 1977"
8732,Dave Hennen Morris,,1872-04-24 00:00:00,"May 4, 1944"
8745,David C. O’Neal,,1937-01-24 00:00:00,"July 10, 2021"
8753,David F. Schulz,David Schulz,1949-09-24 00:00:00,"October 7, 2007"
8760,David-Vital Landry,,1866-07-14 00:00:00,"December 18, 1929"
8761,David Alexander Bokee,,"October 6, 1805","March 15, 1860"
8763,David Augustus Boody,,"August 13, 1837","January 20, 1930"
8769,David A. Morse,David Abner Morse,1907-05-31 00:00:00,"December 1, 1990"
8770,David A. Kennedy,David Anthony Kennedy,1955-06-15 00:00:00,"April 25, 1984"
8774,David A. Reed,David Aiken Reed,1880-12-21 00:00:00,"February 10, 1953"
8775,David Austin Starkweather,,1802-01-21 00:00:00,"July 12, 1876"
8777,David Agry,,1794-08-02 00:00:00,"January 30, 1877"
8778,David Aldrich Nelson,David Aldrich Nelson,1932-08-14 00:00:00,"October 1, 2010"
8779,David Alexander,John David Alexander,1932-10-18 00:00:00,"July 25, 2010"
8780,David Albritton,,"April 13, 1913","May 14, 1994"
8781,David Alexander Nunn,,1833-07-26 00:00:00,"September 11, 1918"
8784,The Viscount Waverley,David Alastair Pearson Anderson,18 February 1911,21 February 1990
8785,The Viscount Rhondda,,1856-03-26 00:00:00,3 July 1918
8787,David Allen Smalley,,1809-04-06 00:00:00,"March 10, 1877"
8788,Sir Murray Anderson,,1874-04-11 00:00:00,30 October 1936
8790,David Andrew Pine,David Andrew Pine,1891-09-22 00:00:00,"June 11, 1970"
8791,David Anderson,,8 September 1916,31 December 1995
8794,David Atkinson,David Anthony Atkinson,1940-03-24 00:00:00,23 January 2012
8795,David Astor,Francis David Langhorne Astor,1912-03-05 00:00:00,7 December 2001
8797,David Archibald Harvey,,"March 20, 1845","May 24, 1916"
8798,David Armbruster,,1917-02-09 00:00:00,"October 16, 1993"
8800,David Atwood,,1815-12-15 00:00:00,"December 11, 1889"
8801,David B. Culberson,,"September 29, 1830","May 7, 1900"
8802,David Atlas,,1924-05-25 00:00:00,"November 10, 2015"
8805,David Frohnmayer,,"July 9, 1940","March 10, 2015"
8808,David B. Hill,David Bennett Hill,1843-08-29 00:00:00,"October 20, 1910"
8809,David B. Mellish,,1831-01-02 00:00:00,"May 23, 1874"
8810,David Truman,,1913-06-01 00:00:00,"August 28, 2003"
8811,David Bremner Henderson,,1840-03-14 00:00:00,"February 25, 1906"
8814,David B. Williams,,1919-01-07 00:00:00,"December 4, 1994"
8817,David Baird Jr.,David Baird Jr.,1881-10-10 00:00:00,"February 28, 1955"
8820,David Barclay,,1784-09-29 00:00:00,1 July 1861
8821,David Barclay,,1823,"September 10, 1889"
8823,David Barnes,,1894,9 June 1970
8825,David Benney,,1930-04-08 00:00:00,9 October 2015
8829,David Bevan,,10 April 1928,12 October 1996
8833,David J. Blanchard,,1921-01-05 00:00:00,"December 23, 1962"
8840,Sir David Bowes-Lyon,,1902-05-02 00:00:00,13 September 1961
8842,David Bowman,David Bowman,1860-08-24 00:00:00,25 February 1916
8843,David Bowman,David Bowman,1860-08-24 00:00:00,25 February 1916
8845,The Earl of Glasgow,,24 July 1910,8 June 1984
8846,The Earl of Glasgow,,1833-05-31 00:00:00,13 December 1915
8847,,,1902-06-14 00:00:00,4 September 1975
8848,David Bradley,,1952-11-13 00:00:00,"February 19, 2022"
8851,Sir David Brand,,1912-08-01 00:00:00,15 April 1979
8853,David Bronson,,"February 8, 1800","November 20, 1863 (aged 63)"
8854,David Brearley,David Brearley,1745-06-11 00:00:00,"August 16, 1790"
8857,David Brooks,,1756,"August 30, 1838"
8858,David Brydie Mitchell,,1766-10-22 00:00:00,"April 22, 1837"
8859,David Buddo,,1853-08-23 00:00:00,8 December 1937
8867,David Burnell Smith,,1941-04-08 00:00:00,"October 24, 2014"
8868,David Butler,,"December 15, 1829","May 25, 1891"
8869,David C. Cummings Jr.,,1861-06-23 00:00:00,"April 24, 1913"
8870,David C. Copley,David Casey Hunt,1952-01-31 00:00:00,"November 20, 2012"
8872,David Broderick,David Colbreth Broderick,1820-02-04 00:00:00,"September 16, 1859"
8878,David Cairns,,1966-08-07 00:00:00,9 May 2011
8881,David Campbell,,1779-08-07 00:00:00,"March 19, 1859"
8883,David C. Westenhaver,David Courtney Westenhaver,1865-01-13 00:00:00,"July 29, 1928"
8884,David Campbell Humphreys,David Campbell Humphreys,1817-11-09 00:00:00,"July 12, 1879"
8885,David Campion Acheson,,1921-11-04 00:00:00,"August 16, 2018"
8888,The Earl of Northesk,David John MacRae Carnegie,1954-11-02 00:00:00,28 March 2010
8889,David Cargo,David Francis Cargo,1929-01-13 00:00:00,"July 5, 2013"
8891,,,18 October 1924,17 April 2008
8895,David C. Dickson,David Catchings Dickson,"February 25, 1818","June 5, 1880 (age 62)"
8897,,,1905-02-09 00:00:00,22 October 1981
8900,David Chávez,,"November 12, 1897","November 3, 1984 (aged 86)"
8902,The Earl of Wemyss and March,Francis David Charteris,19 January 1912,12 December 2008
8903,The Lord Chidgey,,1942-07-09 00:00:00,15 February 2022
8906,David Christie,,1818-10-01 00:00:00,"December 14, 1880"
8910,David Clopton,David Clopton,1820-09-29 00:00:00,"February 5, 1892"
8911,David Cobb,,1748-09-14 00:00:00,"April 17, 1830"
8912,David Clendenin,,before 1790,after 1817
8914,David Coleman,,1881, (aged 69)
8918,David Collins,,1756-03-03 00:00:00,24 March 1810
8919,David Combe,Harvey David Mathew Combe,1943-04-26 00:00:00,21 September 2019
8922,Commodore David Conner,,1792,20 March 1856
8932,David D. Newsom,David Dunlop Newsom,1918-01-06 00:00:00,"March 30, 2008"
8934,David Delano Glover,,1868-01-18 00:00:00,"April 5, 1952"
8936,David Daggett,,1764-12-31 00:00:00,"April 12, 1851"
8939,David Dickson Terry,,1881-01-31 00:00:00,"October 6, 1963"
8940,David Davidse Schuyler,,1669-06-11 00:00:00,"December 16, 1715"
8942,David Dale Owen,,1807-06-24 00:00:00,13 November 1860
8943,David Davie Shelby,David Davie Shelby,1847-10-24 00:00:00,"August 22, 1914"
8946,David Davis,,1815-03-09 00:00:00,"June 26, 1886"
8947,David Delano Glover,,1868-01-18 00:00:00,"April 5, 1952"
8949,David Davis IV,,1906-07-29 00:00:00,"April 14, 1978"
8951,David Davis Walker,,"January 19, 1840","October 4, 1918"
8953,David Dortch Warriner,,1929-02-25 00:00:00,"March 17, 1986"
8957,David Dinkins,David Norman Dinkins,1927-07-10 00:00:00,", "
8961,David Dudley Dowd Jr.,David Dudley Dowd Jr.,1929-01-31 00:00:00,"August 4, 2016"
8962,David Dudley Dowd Jr.,David Dudley Dowd Jr.,1929-01-31 00:00:00,"August 4, 2016"
8964,David E. Finley,,1861-02-28 00:00:00,"January 26, 1917"
8966,David Dunn,,1811-01-17 00:00:00,"February 17, 1894"
8967,David Bell,David Elliot Bell,1919-01-19 00:00:00,"September 6, 2000"
8969,David E. Harrison,David Elkridge Harrison,1933-06-19 00:00:00,"December 1, 2019 (aged 86)"
8970,David E. Green,David Ezra Green,"August 5, 1910","July 8, 1983"
8971,David E. Jeremiah,,1934-02-25 00:00:00,"October 7, 2013"
8976,David E. McGiffert,,1926-06-27 00:00:00,"October 12, 2005"
8977,,,2 January 1975,7 May 2011
8979,David Akpode Ejoor,,1932-01-10 00:00:00,10 February 2019
8981,The Viscount Eccles,,1904-09-18 00:00:00,24 February 1999
8982,David Ellicott Evans,,"March 19, 1788","May 17, 1850 (aged 62)"
8984,The Lord Ennals,,1922-08-19 00:00:00,17 June 1995
8986,David Emanuel,,1744, (aged 63–64)
8987,The Lord Ennals,,1922-08-19 00:00:00,17 June 1995
8988,David Ezekiel Henderson,David Ezekiel Henderson,1879-09-03 00:00:00,"July 25, 1968"
8994,Sir David Fairbairn,,1917-03-03 00:00:00,1 June 1994
8995,David F. Thornton,David Fess Thornton,1924-12-14 00:00:00,"March 13, 2008"
8998,David Houston,David Franklin Houston,1866-02-17 00:00:00,"September 2, 1940"
8999,David Fisher,,1794-12-03 00:00:00,"May 7, 1886"
9003,The Lord Redesdale,David Bertram Ogilvy Freeman-Mitford,1878-03-13 00:00:00,17 March 1958
9008,David G. Binney,,1940-11-03 00:00:00,"October 4, 2008"
9010,David G. Burnet,,"April 14, 1788","December 5, 1870"
9012,David George Hahn,,1925-05-15 00:00:00,8 December 2012
9013,David Gardiner,,1784-05-29 00:00:00,"February 28, 1844"
9015,David George Newton,,1935-11-13 00:00:00,2016
9017,David Gardiner Tyler,,1846-07-12 00:00:00,"September 5, 1927"
9019,David Getches,,"August 17, 1942","July 5, 2011"
9024,David Goldie,,1842,8 June 1926
9025,David Gordon Baker,,"February 17, 1884","March 25, 1958"
9029,Sir David John Gordon,,1865-05-04 00:00:00,12 February 1946
9032,David Gray,,1870-08-08 00:00:00,"April 11, 1968"
9033,David Gregory,,3 June 1659,10 October 1708
9036,David Hartley Armstrong,,1812-10-21 00:00:00,"March 18, 1893"
9037,Sir David Griffin,,8 July 1915,25 March 2004
9038,David H. Gambrell,David Henry Gambrell,1929-12-20 00:00:00,"May 6, 2021"
9040,David Grier Martin,,1910-11-11 00:00:00,"April 5, 1974"
9041,David H. Locke,,1927-08-04 00:00:00,"December 12, 2019"
9043,David H. Crowley,,1882-09-05 00:00:00,"December 21, 1951"
9049,David Hall,,1930-10-20 00:00:00,"May 6, 2016"
9051,David Hadden,,1773-10-13 00:00:00,"June 3, 1856"
9054,David Hammons,,1808-05-12 00:00:00,"November 7, 1888"
9055,David Hall,,1752-01-04 00:00:00,"September 18, 1817"
9057,David Hartley,,Baptized 18 June 1705,28 August 1757
9063,David Hayes Kincheloe,David Hayes Kincheloe,1877-04-09 00:00:00,"April 16, 1950"
9065,David Hatendi,David Tapuwa Hatendi,1953-05-22 00:00:00,12 March 2012
9066,David Henry Mercer,,1857-07-09 00:00:00,"January 10, 1919"
9067,The Lord Windlesham,,23 January 1932,21 December 2010
9069,David Henry Stahl,David Henry Stahl,1920-05-29 00:00:00,"February 21, 1970"
9070,David Henshaw,,1791-04-02 00:00:00,"November 11, 1852"
9071,David Hermelin,David B. Hermelin,1936-12-27 00:00:00,"November 22, 2000"
9074,David Hill,,1809,"May 9, 1850"
9075,David Hillis,,1785,"July 8, 1845"
9079,David Adams Hollingsworth,,1844-11-21 00:00:00,"December 3, 1929"
9080,David Hough,,1753-03-13 00:00:00,"April 18, 1831"
9081,David Holmes,,1769-03-10 00:00:00,"August 20, 1832"
9082,David Hargraves Hodgson,,1939-08-10 00:00:00,5 June 2012
9086,David Howell,David Howell,1747-01-01 00:00:00,"July 30, 1824"
9087,David Howell Turner,,"May 10, 1885","May 11, 1957"
9088,David Hubbard,David Hubbard,1792,"January 20, 1874 (aged 81 or 82)"
9091,David Humphreys,,1752-07-10 00:00:00,"February 21, 1818"
9092,David I. Walsh,David Ignatius Walsh,1872-11-11 00:00:00,"June 11, 1947"
9093,David Irvine,,1947-01-10 00:00:00,30 March 2022
9097,David Jewett Baker,,1792-09-07 00:00:00,"August 6, 1869"
9102,David J. Foster,,1857-06-27 00:00:00,"March 21, 1912"
9104,David J. Davis,,1870,1942
9109,David J. McDonald,,1902-11-22 00:00:00,"August 8, 1979"
9110,David J. O’Connell,David Joseph O'Connell,1868-12-25 00:00:00,"December 29, 1930"
9113,David J. O'Connor,,1924-11-09 00:00:00,"May 5, 2011"
9121,David James Walker,,1905-05-10 00:00:00,"November 28, 1995"
9122,David James,David Pelham James,1919-12-25 00:00:00,15 December 1986
9126,David John Lewis,,1869-05-01 00:00:00,"August 12, 1952"
9127,David Jayne Hill,,1850-06-10 00:00:00,"March 2, 1932"
9130,David John Wilson,David John Wilson,1887-10-27 00:00:00,"April 23, 1976"
9132,David Johnson,,1782-10-03 00:00:00,"January 7, 1855"
9133,David Johnston,,1724-01-03 00:00:00,12 January 1809
9136,David Jones,,1873-11-09 00:00:00,23 September 1941
9138,David Kellogg Cartter,David Kellogg Cartter,1812-06-22 00:00:00,"April 16, 1887"
9139,David K. E. Bruce,David Kirkpatrick Este Bruce,1898-02-12 00:00:00,"December 5, 1977"
9141,David J. Brewer,,1837-06-20 00:00:00,"March 28, 1910"
9142,David Dill,,1955-07-07 00:00:00,"August 8, 2015"
9143,David Kemper Watson,,1849-06-18 00:00:00,"September 28, 1918"
9146,David Kent Winder,David Kent Winder,1932-06-08 00:00:00,"May 18, 2009"
9147,David Katz,,"June 28, 1924",1987 (aged 62)
9148,David Kellogg Cartter,David Kellogg Cartter,1812-06-22 00:00:00,"April 16, 1887"
9149,David Kennedy,,1941-11-21 00:00:00,"June 14, 2015"
9150,David Kent Winder,David Kent Winder,1932-06-08 00:00:00,"May 18, 2009"
9152,The Lord Strabolgi,,1914-11-01 00:00:00,24 December 2010
9154,David Kinley,,1861-08-02 00:00:00,3 December 1944
9156,David Kilgour,David William Kilgour,1941-02-18 00:00:00,"April 5, 2022"
9161,Dave Armstrong,David Lawrence Armstrong,1941-08-06 00:00:00,"June 15, 2017"
9163,David L. Barnes,David Leonard Barnes,1760-01-28 00:00:00,"November 3, 1812"
9165,David L. Bazelon,David Lionel Bazelon,1909-09-03 00:00:00,"February 19, 1993"
9168,David L. Gregg,,"July 21, 1819","December 23, 1868"
9171,David L. Lawrence,David Leo Lawrence,1889-06-18 00:00:00,"November 21, 1966"
9172,David Lawrence Morril,,1772-06-10 00:00:00,"January 28, 1849"
9175,David Laird,,1833-03-12 00:00:00,"January 12, 1914"
9182,David Laurence MacLaren,,1893-10-27 00:00:00,"September 7, 1960"
9183,David Levy Yulee,David Levy,1810-06-12 00:00:00,"October 10, 1886"
9184,David Leslie,,1797,"March 1, 1869"
9186,David Lewis,David Losz,June 23 or October 1909,"May 23, 1981"
9192,,,20 November 1900,13 December 1975 (aged 75)
9194,David Lowry Swain,,1801-01-04 00:00:00,"August 27, 1868"
9200,David Luteijn,,1943-07-11 00:00:00,13 April 2022
9201,David Lycurgus Middlebrooks Jr.,,1926-06-27 00:00:00,"March 26, 1997"
9202,David Lloyd George,,1863-01-17 00:00:00,26 March 1945
9204,David Lyon,,1794-09-18 00:00:00,8 April 1872
9208,David M. De Witt,,"November 25, 1837","June 23, 1912"
9210,David Kennedy,David Matthew Kennedy,1905-07-21 00:00:00,"May 1, 1996"
9212,David M. Key,David McKendree Key,1824-01-27 00:00:00,"February 3, 1900"
9216,,,1871-10-10 00:00:00,8 March 1940
9217,David M. Satz Jr.,,1926-01-14 00:00:00,"December 25, 2009"
9220,David M. Turner,,1917-05-17 00:00:00,"September 8, 2012"
9221,David MacKeen,,1839-09-20 00:00:00,"November 13, 1916"
9227,David Manker Abshire,David Manker Abshire,1926-04-11 00:00:00,"October 31, 2014"
9228,David Malcolm,,1938-05-06 00:00:00,20 October 2014
9233,The Viscount Margesson,,1890-07-26 00:00:00,24 December 1965
9235,David Marston Clough,,1846-12-27 00:00:00,"August 28, 1924"
9236,David Martin,,1907-07-09 00:00:00,"May 15, 1997"
9242,The Earl of Kilmuir,,29 May 1900,27 January 1967
9244,David Mathews,,", ","July 28, 1800 (aged 60-61)"
9245,David McDonald,David McDonald,1803-05-08 00:00:00,"August 25, 1869"
9250,David McLaren,,1870,3 November 1939
9254,David Meriwether,,1755-04-10 00:00:00,"November 16, 1822"
9255,David Meekison,,1849-11-14 00:00:00,"February 12, 1915"
9256,David Meriwether,,1800-10-30 00:00:00,"April 4, 1893"
9260,David Meriwether,,1800-10-30 00:00:00,"April 4, 1893"
9264,David Mills,,1831-03-18 00:00:00,"May 8, 1903"
9266,Sir David Mitchell,,1928-06-20 00:00:00,30 August 2014
9267,David Moody,,18 November 1834,"4 May 1915, aged 81"
9271,David Mudd,William David Mudd,1933-06-02 00:00:00,28 April 2020
9278,The Earl of Mansfield,David Murray,9 October 1727,1 September 1796
9283,David Nicholls,David Gwyn Nicholls,1936-06-03 00:00:00,13 June 1996
9284,Sir David Nicholson,David Eric Nicholson,1904-05-26 00:00:00,13 December 1997
9285,David Nightingale Hicks,,1929-03-25 00:00:00,29 March 1998
9290,David O'Brien Martin,David O'Brien Martin,1944-04-26 00:00:00,", "
9292,David Olmsted,,"May 5, 1822","February 2, 1861"
9293,David O. Selznick,David Selznick,1902-05-10 00:00:00,"June 22, 1965"
9297,David Orlikow,,1918-04-18 00:00:00,"January 19, 1998"
9298,David Orr,,1922-05-10 00:00:00,2 February 2008
9299,The Lord Harlech,William David Ormsby-Gore,1918-05-20 00:00:00,26 January 1985
9302,David Percy Jones,,"July 6, 1860","August 3, 1927"
9303,David Payne Brewster,,"June 15, 1801","February 20, 1876"
9304,David P. Hogue,,1815-03-12 00:00:00,"November 19, 1871"
9306,David Orr King,,1938-02-24 00:00:00,"June 10, 2019"
9307,David Buckson,David Penrose Buckson,1920-07-25 00:00:00,"January 17, 2017"
9308,David Perley Lowe,,1823-08-22 00:00:00,"April 10, 1882"
9309,David P. Currie,,1936-05-29 00:00:00,"October 15, 2007"
9311,David P. Thompson,,1834-11-08 00:00:00,"December 14, 1901"
9312,David Perley Lowe,,1823-08-22 00:00:00,"April 10, 1882"
9313,David Packard,,1912-09-07 00:00:00,"March 26, 1996"
9317,David Penhaligon,,1944-06-06 00:00:00,22 December 1986
9320,David Pieterse Schuyler,David Pieterse Schuyler,1636-02-12 00:00:00,9 February 1690
9322,,,1936-10-04 00:00:00,21 January 2018
9324,The Lord Rathmore,,1838-12-03 00:00:00,22 August 1919
9326,David Plant,,"March 29, 1783",18 October 1851
9329,David Poythress,,1943-10-24 00:00:00,"January 15, 2017"
9333,David Provost,,"January 16, 1670",1724
9338,David Read Evans,,1769-02-20 00:00:00,"March 8, 1843"
9339,David Francis,David Rowland Francis,1850-10-01 00:00:00,"January 15, 1927"
9344,David Raymond Paige,,1844-04-08 00:00:00,"June 30, 1901"
9346,David Rogerson Williams,,1776-03-08 00:00:00,"November 17, 1830"
9347,David R. Wright,,1935-12-24 00:00:00,"November 18, 2016"
9350,The Lord Ogmore,David Rees Rees-Williams,1903-11-22 00:00:00,30 August 1976
9351,David Jermah Redick,,1753-07-05 00:00:00,28 September 1805
9353,David Rawson,,"September 10, 1941","September 16, 2020 (aged 79)"
9356,David Rabinovitz,David Rabinovitz,1908-05-22 00:00:00,"August 25, 1986"
9358,David Ricardo,,1772-04-18 00:00:00,11 September 1823
9359,David Rendel,,1949-04-15 00:00:00,16 May 2016
9360,David Rice Atchison,,1807-08-11 00:00:00,"January 26, 1886"
9362,David Rogerson Williams,,1776-03-08 00:00:00,"November 17, 1830"
9364,Sir David Rose,David James Gardiner Rose,1923-04-10 00:00:00,10 November 1969
9365,David Rittenhouse Porter,,"October 31, 1788","August 6, 1867"
9366,David Rockefeller,,1915-06-12 00:00:00,"March 20, 2017"
9373,David S. Coltrane,David Stanton Coltrane,1893-07-27 00:00:00,1968
9375,David S. Holmes Jr.,,1914-08-11 00:00:00,"May 21, 1994"
9377,David Shepherd Garland,,1769-09-27 00:00:00,"October 7, 1841"
9378,David S. Cunningham Jr.,David Surmier Cunningham Jr.,1935-06-24 00:00:00,"November 15, 2017"
9379,David S. Holmes Jr.,,1914-08-11 00:00:00,"May 21, 1994"
9380,David S. Jackson,,1813,"January 20, 1872"
9381,David Sjodahl King,,1917-06-20 00:00:00,"May 5, 2009"
9382,David S. Kaufman,David Spangler Kaufman,1813-12-13 00:00:00,"January 31, 1851"
9383,David Sproat Kennedy,,1791,"February 2, 1853"
9390,David S. Terry,,1823-03-08 00:00:00,"August 14, 1889"
9391,David Shelby Walker,,"May 2, 1815","July 20, 1891 (aged 76)"
9397,David Sassoon,,October 1792,"November 7, 1864 (aged 72)"
9398,David N. Savitt,,1928-05-23 00:00:00,"October 23, 2018"
9406,David Sassoli,David Maria Sassoli,1956-05-30 00:00:00,11 January 2022
9407,David Schwartz,,1916-07-07 00:00:00,"December 21, 1989"
9408,Hon. David Schuman,,1944-05-08 00:00:00,"October 8, 2019"
9417,David Settle Reid,,1813-04-19 00:00:00,"June 19, 1891"
9418,David Sholtz,,1891-10-06 00:00:00,"March 21, 1953"
9420,The Lord Shutt of Greetland,David Trevor Shutt,1942-03-16 00:00:00,30 October 2020
9422,David Sills,David George Sills,1938-03-21 00:00:00,"August 23, 2011"
9428,David S. Kaufman,David Spangler Kaufman,1813-12-13 00:00:00,"January 31, 1851"
9430,David Sproat Kennedy,,1791,"February 2, 1853"
9433,David Stern,David Joel Stern,1942-09-22 00:00:00,"January 1, 2020"
9434,David Steuart,,1916-01-26 00:00:00,"November 5, 2010"
9436,David Stewart,,1800-09-13 00:00:00,"January 5, 1858"
9437,Sir David Stirling,,1915-11-15 00:00:00,4 November 1990
9438,David Stewart Porter,David Stewart Porter,1909-09-23 00:00:00,"January 5, 1989"
9441,David Stone,,1770-02-17 00:00:00,"October 7, 1818"
9442,David Strangway,David William Strangway,1934-06-07 00:00:00,"December 13, 2016"
9444,David Stewart,,1800-09-13 00:00:00,"January 5, 1858"
9445,David Stuart,,"August 3, 1753",1814 (aged 58–59)
9446,David Stuart,,"August 3, 1753",1814 (aged 58–59)
9453,David Kearns,David Todd Kearns,1930-08-11 00:00:00,"February 25, 2011"
9455,David Tiernan Disney,,1803-08-25 00:00:00,"March 14, 1857"
9456,David T. Kennedy,,1934-04-07 00:00:00,"September 4, 2014"
9457,David Taylor Schneider,,1922-11-20 00:00:00,"September 24, 2014"
9458,David Trotter Patterson,,1818-02-28 00:00:00,"November 3, 1891"
